PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
SNA EUROPE INDUSTR. IBERIA,S.A;276,46;29111,47;;240,16;33590,25;
SOURCING SPECIALISTS S.L.;703,93;;;3701,31;;
SPAX TORNILLERIA, S.A.U.;;15178,37;;27,73;13524,51;
SP-BERNER PLASTIC GROUP, S.L.;29,37;;;;;
STANLEY BLACK DECKER IBER.,SLU;912,12;3986,71;;985,29;7791,61;
STIGA, SPA;50,03;;;;;
STOCK PLUS, S.L.;51,05;;;13892,49;;
SUC.DE FALIP NAVARRO,S.A.;976,18;;;625,52;;
SUMINISTROS INDUST.BELLOSO,S.L;456,25;86,22;;970,28;616,2;
SUPER EGO TOOLS, S.L.U;7,42;36,31;;180,71;;
SUZHOU KOTA HARDWARE&TOOLS CO.,LTD;144,33;;;132,77;;
SWISSINNO SOLUTIONS AG;652,70;;;388,32;;
TALLER HNOS.CATALINA, S.A.;17,34;;;384,16;;
TALLERES ESCORIAZA, S.A.U.;194,74;4300,43;;328,79;1928,76;
TALLERES MECA. BIANDITZ, S.L.;;;;33,52;;
TALLERES TREPAT, S.A.;;2019,9;;;4316,84;
TECHXIN ELEC.APPL.MANUF.CO.LTD;40,18;;;;;
TECNICAS EXPANSIVAS, S.L.;;23515,92;;358,79;28226,83;
TECNOLOGIAS DE AISLAMIENTOS Y CLIMATIZACION, SL;;160;;95,85;;
TEICOCIL ESPAÑA, S.L.;722,49;;;1986,27;;
TELCOMDIS TECNOLOGIA, S.L.;;;;98,90;;
TEMPEL, S.A.;;;;97,87;;
TESA TAPE, S.A.;;10148,55;;3765,06;7967,41;
TEXLIMCA, S.A.;2560,94;896,7;;3314,68;;
THE PAPER&OFFICE EQUI.SPAIN,SA;;1752,75;;1,49;;
TOMAS BODERO S.A.;;22339,59;;1741,56;15372,62;
TORNILLERA ARAGONESA,S.A.;49,26;;;62,49;;
