PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
;;;;;;
3L INTERNACIONAL, S.A.;;;;;;
OPTOR, S.A.U.;;;;96,34;1484,64;
PAPELES EL CARMEN, S.A.;;;;32,25;;
PFERD-RUGGEBERG, S.A.;;;;;716,66;
PLABELL COMERCIAL, S.L.;;;;;;
PLASTICOS TA-TAY, S.A.;36,1;;;89,77;;
PLASVIDAVI INYECCION, S.L.;;;;;;
PONTAROLO ENGINEERING SPA;;;;;;
PRACTICEL, S.L.;;;;;;
PRIMICIAS TECN. CARDI, S.L.;53,9;;;120,68;;
PROCO-DIS, S.L.;;;;;;
PRODUCTOS CLIMAX S.A.;548,52;598,72;;;2469,37;
PRODUCTOS FLOWER, S.A.;;;;25,93;;
PRODUCTOS McLAND, S.L.;;;;180,02;540,77;
PRODUCTOS QP, S.A.;;;;;;
QINGDAO GOLD-DRAGON CO., LTD;;;;92,78;;
QUIMICA DEL CENTRO, S.A.U.;77,88;;;130,40;;
QUIMIMONT, S.L.U;;;;;522,71;
RADIO CARRERA, S.A;536,43;;;;;
RESINAS OLOT, S.L.;;;;;;
RIOJA MOMOSA 93, S.L;;1110,08;;;1034,14;
RIVER INTERNATIONAL, S.A.;;;;;;
ROBERT BOSCH ESPAÑA, S.L.U.;212,17;;;392,18;;
ROLSER, S.A.;;;;129,07;;
ROMBULL RONETS, S.L.;35,42;;;;;
RUEDAS ALEX, S.L.U.;;1602,50;;;3842,98;
RUGART PLASTICOS IBERICA, SL;117,97;;;684,32;;
RULO PLUMA, S.A.;;;;;347,11;
S.A. HERRAJES DE CORREDERA;;1285,24;;;188,62;
SAINT GENIS, S.A.;;;;1,52;;
SAINT GOBAIN ABRASIVOS, S.A.;7,99;585;;116,47;900,45;
SAMOA INDUSTRIAL, S.A.;;820,35;;;245,32;
SAUVIC, S.L.;;;;;;
SEDILES, S.A.;84,93;;;235,97;;
SEINEC, S.A.;261,89;;;169,31;;
SELENA IBERIA, S.L.U.;;;;;;
SHANGHAI STONG INDUSTRY CO., LTD;19,81;;;;;
SILVER SANZ, S.A.;;;;;;
SIMON BRICO, S.L.;;;;;;
SNA EUROPE INDUSTR. IBERIA,S.A;276,46;4795,10;;129,44;8976,89;
SOURCING SPECIALISTS S.L.;494,65;;;2321,93;;
SPAX TORNILLERIA, S.A.U.;;4134,54;;12,81;2463,12;
SP-BERNER PLASTIC GROUP, S.L.;29,37;;;;;
STANLEY BLACK DECKER IBER.,SLU;;94,02;;166,91;2725,71;
STIGA, SPA;;;;;;
STOCK PLUS, S.L.;;;;6632,57;;
SUC.DE FALIP NAVARRO,S.A.;172,69;;;156,71;;
SUMINISTROS INDUST.BELLOSO,S.L;;;;970,28;616,2;
SUPER EGO TOOLS, S.L.U;;;;;;
