PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
MAIOL GERMANS, S.L.;149,83;;;309,52;;
MAKITA ESPAÑA, S.A.;;50808,46;;;56037,76;
MANUEL OBRERO RUIZ, S.A.;184,34;;;;;
MANUFACTURAS ALCO S.A.;;;;39,88;;
MANUFACTURAS GRE, S.A.;;;;;;
MANUFACTURAS M. SOLER, S.L.;;;;10,04;;
MAQUINARIA DISBER, S.L.;246,25;;;294,48;;
MARCA PROTECCION LABORAL, S.L.;;4998,61;;569,06;5379,01;
MEPLAS JAR, S.L.;;7162,88;;;10842,77;
METALTEX IBERIA, S.L.;2,13;;;;;
MIARCO, S.L.;;;;;295,39;
MICEL-VEGA, S.L.;;;;;;
MIRALBUENO PRODUCTS, S.L.;;;;;923,28;
MODERN BATH STAGE,S.L.;;;;13,16;;
MOTORES CAMPEON, S.L.;828,57;1763,62;;425,57;;
NEVIR, S.A.;49,46;;;49,46;;
NINGBO ZHONGLIN FOREIGN TRADE CO., LTD;;;;28,83;;
NMZ, SL;;;;;;
NORTENE HOME DEPOT SL;326,22;1652,73;;796,09;10168,12;
NOVARTIX TRADING, S.L.;306,60;;;;;
NOVODINAMICA SL;;;;;177;
OLIPES, S.L.;;;;;;
OLIVERAS GUERRIS, S.A.;67,05;;;54;;
OPTOR, S.A.U.;96,34;1781,32;;96,34;3674,48;
PAPELES EL CARMEN, S.A.;;;;32,25;;
PFERD-RUGGEBERG, S.A.;;590,66;;;716,66;
PLABELL COMERCIAL, S.L.;;;;;;
PLASTICOS TA-TAY, S.A.;74,75;;;162,71;;
PLASTIKEN, S.L.U.;65,07;;;;;
PLASVIDAVI INYECCION, S.L.;;;;;;
PONTAROLO ENGINEERING SPA;;;;;;
PRIMICIAS TECN. CARDI, S.L.;161,71;;;268,70;;
PROCO-DIS, S.L.;12,25;;;;;
PRODUCTOS CLIMAX S.A.;548,52;2499,12;;;4023,99;
PRODUCTOS FLOWER, S.A.;;;;25,93;;
PRODUCTOS McLAND, S.L.;137,45;;;180,02;1062,74;
PRODUCTOS QP, S.A.;;;;;;
QINGDAO GOLD-DRAGON CO., LTD;;;;340,32;;
QUIMICA DEL CENTRO, S.A.U.;287,68;;;209,29;;
QUIMIMONT, S.L.U;;;;;522,71;
RADIO CARRERA, S.A;536,43;;;;;
RESINAS OLOT, S.L.;;;;;;
RIOJA MOMOSA 93, S.L;;1110,08;;;3492,52;
RIVER INTERNATIONAL, S.A.;;;;;;
ROBERT BOSCH ESPAÑA, S.L.U.;707,62;;;392,18;;
ROLSER, S.A.;75,05;;;331,64;;
ROMBULL RONETS, S.L.;612,28;191,22;;;126,4;
RUEDAS ALEX, S.L.U.;;4723,43;;;6766,16;
RUGART PLASTICOS IBERICA, SL;803,54;;;684,32;;
RULO PLUMA, S.A.;;986,75;;67,8;754,55;
S.A. HERRAJES DE CORREDERA;;1678,58;;;1968,52;
SAINT GENIS, S.A.;;;;1,52;;
SAINT GOBAIN ABRASIVOS, S.A.;157,72;2138,95;;160,40;900,45;
SAMOA INDUSTRIAL, S.A.;;2368,43;;;3701,13;
SANZ HERMANOS VALENCIA, S.L;;75,26;;;;
SAUVIC, S.L.;;;;;;
SEDILES, S.A.;84,93;;;235,97;;
SEINEC, S.A.;486,97;;;640,11;;
SELENA IBERIA, S.L.U.;;;;;;
SHANGHAI STONG INDUSTRY CO., LTD;19,81;;;;;
SILVER SANZ, S.A.;;;;;;
SIMON BRICO, S.L.;41,22;;;6,81;;
SNA EUROPE INDUSTR. IBERIA,S.A;276,46;14137,54;;210,02;19325,52;
SOURCING SPECIALISTS S.L.;703,93;;;3561,44;;
SPAX TORNILLERIA, S.A.U.;;8121,95;;12,81;8260,91;
SP-BERNER PLASTIC GROUP, S.L.;29,37;;;;;
STANLEY BLACK DECKER IBER.,SLU;590,78;1827,49;;641,08;6001,12;
STIGA, SPA;50,03;;;;;
STOCK PLUS, S.L.;4,64;;;9724,77;;
SUC.DE FALIP NAVARRO,S.A.;538,75;;;163,51;;
SUMINISTROS INDUST.BELLOSO,S.L;181,15;;;970,28;616,2;
SUPER EGO TOOLS, S.L.U;7,42;36,31;;180,71;;
SUZHOU KOTA HARDWARE&TOOLS CO.,LTD;33,96;;;64,85;;
SWISSINNO SOLUTIONS AG;116,1;;;100,03;;
TALLER HNOS.CATALINA, S.A.;17,34;;;384,16;;
TALLERES ESCORIAZA, S.A.U.;;2816,11;;328,79;1928,76;
TALLERES MECA. BIANDITZ, S.L.;;;;;;
TALLERES TREPAT, S.A.;;997,5;;;2115,22;
TECHXIN ELEC.APPL.MANUF.CO.LTD;40,18;;;;;
TECNICAS EXPANSIVAS, S.L.;;12818,78;;358,79;18218,22;
TECNOLOGIAS DE AISLAMIENTOS Y CLIMATIZACION, SL;;;;;;
TEICOCIL ESPAÑA, S.L.;722,49;;;1489,71;;
TELCOMDIS TECNOLOGIA, S.L.;;;;98,90;;
TEMPEL, S.A.;;;;97,87;;
TESA TAPE, S.A.;;6292,85;;2165,16;4478,60;
TESCOMA ESPAÑA, S.L.;;;;;;
TEXLIMCA, S.A.;2560,94;382,2;;1506,84;;
THE PAPER&OFFICE EQUI.SPAIN,SA;;981,99;;1,49;;
TOMAS BODERO S.A.;;12292,71;;1473,36;9333,37;
TORNILLERA ARAGONESA,S.A.;;;;41,66;;
TOYOTOMI EURO SALES SPA, S.A.;35,81;;;;;
TRACTEL IBERICA, S.A.;;1523,1;;;1388,81;
TREFILERIA ALISEDA, S.L.;2216,18;;;1771,40;2536,38;
UMACON, S.A.;;;;;54,14;
UNIVERSAL FOR ENGINEERING INDUSTRIES SPAIN SL;;;;187,76;;
URKO TOOLS, S.A.;;511,90;;;1948,81;
VARILLA ROSCADA, S.A.;;2677,68;;;2547,36;
VARO IBERICA BRICOLAGE, S.L.;185,99;;;266,26;;
VARTA CONSUMER BAT IBERIA, SL;831,06;;;893,62;;
VELILLA GROUP EUROPE, SL;;1100,73;;;159,28;
VERA ARTICULOS DE GOMA, S.L.;147,81;;;189,46;;
VOLA-INSTRUMENTS, S.L.;;;;;;
WD-40 C12165OMPANY LTD. ESPAÑA;1903,92;;;766,48;;
WEBER STHEPHEN IBERICA, S.R.L;299;;;;;
WINNER SMART, LTD;;;;;;
WOLF GROUP IBERICO S.A.U;;7981,40;;273,92;9394,90;
WOLFCRAFT GMBH;;;;53,62;;
XCELLENT MFG.ASSOCIATES CO.;253,72;;;431,40;;
YONGKANG HAILI IND.,Co.Ltd.;;;;99,39;;
YULIT INDUSTRIES CO. ,LTD.;;;;25,39;;
ZHEJIANG MINZO NEW MAT.CO.LTD;1222,12;;;1147,60;;
