PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
INTERMAS NETS, SA;;;;;;
IREGA, S.A;;74,87;;;192,97;
ITEM INTERNACIONAL, S.A.;;;;18,44;;
IZAR CUTTING TOOLS, S.A.L.;;29,92;;119,62;;
JAIME GARCIA MOLL, S.L.;34,13;;;;;
JAZ-ZUBIAURRE, S.A.;;59,55;;;107,45;
JCOPLASTIC IBERICA 2000, S.L.;86,19;;;258,57;428;
JMA ALEJANDRO ALTUNA, S.L.;229,22;;;546,80;;
JUBA PERSONAL PROT.EQUIP.,S.L;;23552,64;;78,28;22508,10;
KARCHER, S.A.;153,86;;;;;
KB8 IBERICA, SLU;70,54;;;;;
KELNO HK LIMITED;2185,33;;;1295,70;;
KERKOM 360, S.A;32,56;;;38,54;;
KETER IBERIA, S.L.U.;231,49;;;;;
KNIPEX-WERK;4368,04;;;5484,91;;
KOVYX OUTDOOR, S.L.;;;;8,32;;
KRAFFT, S.L. (Unipersonal);256,86;49626,32;;1672,75;59403,06;
KRIPXE. S.A.;;1597,37;;;4246,12;
LABORATORIOS RAYT, S.A.;385,62;;;343,09;;
LACOR MENAJE PROFESIONAL S.L.;14,55;;;;;
LAICA IBERIA DISTRIBUCION SL;;;;;;
LEDVANCE, S.A.U.;;;;;;
LINEA PLUS ESSEGE, S.L.U.;;;;215,58;;
MAIOL GERMANS, S.L.;335,53;;;789,92;;
MAKITA ESPAÑA, S.A.;;111957,51;;;100952,30;
MANUEL OBRERO RUIZ, S.A.;184,34;;;;;
MANUFACTURAS ALCO S.A.;;;;39,88;;
MANUFACTURAS M. SOLER, S.L.;141,69;;;206,01;;
MAQUINARIA DISBER, S.L.;544,94;;;480,30;;
MARCA PROTECCION LABORAL, S.L.;;7048,30;;569,06;9166,04;
MEPLAS JAR, S.L.;;16601,61;;;16372,61;
METALTEX IBERIA, S.L.;2,13;;;;;
MIARCO, S.L.;;;;81,47;886,17;
MICEL-VEGA, S.L.;;;;25,64;;
MIRALBUENO PRODUCTS, S.L.;;661,24;;;923,28;
MODERN BATH STAGE,S.L.;;;;13,16;;
MOTORES CAMPEON, S.L.;828,57;1856,81;;802,58;;
NEVIR, S.A.;49,46;;;49,46;;
NINGBO POWERFUL POOL E.CO.LTD;;;;;;
NINGBO ZHONGLIN FOREIGN TRADE CO., LTD;28,01;;;28,83;;
NORTENE HOME DEPOT SL;368,90;4377,30;;971,59;17671,15;
NOVARTIX TRADING, S.L.;1329,08;;;67,52;363;
NOVODINAMICA SL;;239;;;333;
OLIPES, S.L.;;;;;;
OLIVERAS GUERRIS, S.A.;67,05;;;54;;
OPTOR, S.A.U.;96,34;5467,57;;275,99;5655,50;
PAPELES EL CARMEN, S.A.;;;;32,25;;
PFERD-RUGGEBERG, S.A.;;1533,57;;;2446,27;
PLABELL COMERCIAL, S.L.;;441,74;;;;
PLASMIR, S.A.;92,95;;;;;
PLASTICOS TA-TAY, S.A.;236,79;;;293,10;;
PLASTIKEN, S.L.U.;206,54;;;;;
PLASVIDAVI INYECCION, S.L.;37,49;;;159,97;;
PRIMICIAS TECN. CARDI, S.L.;445,16;;;347,83;;
PROCO-DIS, S.L.;12,25;;;13,74;;
PRODUCTOS CLIMAX S.A.;1141,42;5282,99;;522,13;7128,31;
PRODUCTOS FLOWER, S.A.;23,89;;;89,31;;
PRODUCTOS McLAND, S.L.;278,00;;;1009,20;1700,54;
PRODUCTOS QP, S.A.;;;;189,49;;
QINGDAO GOLD-DRAGON CO., LTD;;;;706,95;;
QUALIMAX INTERNACIONAL, S.L.;46,18;;;;;
QUIMICA DEL CENTRO, S.A.U.;602,28;;;341,92;;
QUIMIMONT, S.L.U;;;;;522,71;
RADIO CARRERA, S.A;536,43;;;;;295,96
RIOJA MOMOSA 93, S.L;;4654,87;;;5667,45;
RIVER INTERNATIONAL, S.A.;55,46;;;21,83;;
ROBERT BOSCH ESPAÑA, S.L.U.;1481,13;;;392,18;;
ROLSER, S.A.;286,64;;;454,87;;
ROMBULL RONETS, S.L.;1025,23;438,83;;359,61;653,61;
RUEDAS ALEX, S.L.U.;;7881,42;;;11507,70;
RUGART PLASTICOS IBERICA, SL;1110,99;;;972,79;;
RULO PLUMA, S.A.;;2105,25;;118,38;2245,13;
S.A. HERRAJES DE CORREDERA;;2244,07;;;2049,25;
SAINT GENIS, S.A.;;;;1,52;;
SAINT GOBAIN ABRASIVOS, S.A.;224,09;4062,55;;182,07;2552,25;
SAMOA INDUSTRIAL, S.A.;;2390,33;;;5154,47;
SANZ HERMANOS VALENCIA, S.L;;75,26;;;;
SAUVIC, S.L.;;;;18,50;;
SEDILES, S.A.;169,86;;;384,32;;
SEINEC, S.A.;1255,47;;;2104,78;;
SELENA IBERIA, S.L.U.;;;;;;
SHANGHAI STONG INDUSTRY CO., LTD;19,81;;;;;
SILVER SANZ, S.A.;93,49;160,75;;;;
SIMON BRICO, S.L.;152,45;;;20,43;;
SNA EUROPE INDUSTR. IBERIA,S.A;276,46;32190,99;;256,72;38092,54;
SOURCING SPECIALISTS S.L.;703,93;;;3797,19;;
SPAX TORNILLERIA, S.A.U.;;15307,42;;27,73;13524,51;
SP-BERNER PLASTIC GROUP, S.L.;29,37;;;;;
STANLEY BLACK DECKER IBER.,SLU;912,12;5367,19;;985,29;8762,30;
STIGA, SPA;50,03;;;;;
STOCK PLUS, S.L.;51,05;;;13892,49;;
SUC.DE FALIP NAVARRO,S.A.;976,18;;;625,52;;
SUMINISTROS INDUST.BELLOSO,S.L;456,25;86,22;;970,28;616,2;
SUPER EGO TOOLS, S.L.U;35,73;36,31;;373,69;;
SUZHOU KOTA HARDWARE&TOOLS CO.,LTD;271,68;;;166,73;;
SWISSINNO SOLUTIONS AG;756,98;;;479,84;;
TALLER HNOS.CATALINA, S.A.;17,34;;;384,16;;
TALLERES ESCORIAZA, S.A.U.;194,74;4957,34;;328,79;1928,76;
TALLERES MECA. BIANDITZ, S.L.;;;;33,52;;
TALLERES TREPAT, S.A.;;2019,9;;;4316,84;
TECHXIN ELEC.APPL.MANUF.CO.LTD;40,18;;;;;
TECNICAS EXPANSIVAS, S.L.;;24920,83;;358,79;31931,51;
TECNOLOGIAS DE AISLAMIENTOS Y CLIMATIZACION, SL;;;;95,85;;
TEICOCIL ESPAÑA, S.L.;722,49;;;2358,70;;
TELCOMDIS TECNOLOGIA, S.L.;;;;98,90;;
TEMPEL, S.A.;;;;97,87;;
TESA TAPE, S.A.;146,27;12482,17;;4367,00;7967,41;
TEXLIMCA, S.A.;2560,94;896,7;;4256,50;;
THE PAPER&OFFICE EQUI.SPAIN,SA;;1752,75;;1,49;;
TOMAS BODERO S.A.;;23081,58;;1813,14;17663,47;
TORNILLERA ARAGONESA,S.A.;49,26;;;62,49;;
TOYOTOMI EURO SALES SPA, S.A.;229,74;;;201,56;;
TRACTEL IBERICA, S.A.;;2968,15;;89,23;3420,29;
TREFILERIA ALISEDA, S.L.;2717,94;1093,5;;2456,95;4626,18;
UMACON, S.A.;;;;;103,60;
UNIVERSAL FOR ENGINEERING INDUSTRIES SPAIN SL;;;;187,76;;
URKO TOOLS, S.A.;;2119,93;;;3991,08;
VARILLA ROSCADA, S.A.;;6344,28;;;4990,23;
VARO IBERICA BRICOLAGE, S.L.;185,99;;;452,73;;
VARTA CONSUMER BAT IBERIA, SL;1670,95;;;1331,76;;
VELILLA GROUP EUROPE, SL;;2024,94;;;1057,95;
VERA ARTICULOS DE GOMA, S.L.;405,95;;;276,58;;
VOLA-INSTRUMENTS, S.L.;;;;69,31;;
WD-40 C12165OMPANY LTD. ESPAÑA;4636,10;;;3744,79;;
WEBER STHEPHEN IBERICA, S.R.L;299;;;33,67;;
WOLF GROUP IBERICO S.A.U;34,08;15233,56;;1124,59;14677,66;
WOLFCRAFT GMBH;26,13;;;53,62;;
XCELLENT MFG.ASSOCIATES CO.;265,97;;;656,50;;
YONGKANG HAILI IND.,Co.Ltd.;;;;99,39;;
YULIT INDUSTRIES CO. ,LTD.;;;;25,39;;
ZHEJIANG MINZO NEW MAT.CO.LTD;1222,12;;;1412,37;;
