PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
KOVYX OUTDOOR, S.L.;;;;;;
KRAFFT, S.L. (Unipersonal);;541,91;;69,9;6187,99;
KRIPXE. S.A.;;;;;299;
LABORATORIOS RAYT, S.A.;;;;;;
LAICA IBERIA DISTRIBUCION SL;;;;;;
LEDVANCE, S.A.U.;;;;;;
LINEA PLUS ESSEGE, S.L.U.;;;;;;
M. ALMORIN, S.L.;;;;;;
MAIOL GERMANS, S.L.;;;;;;
MAKITA ESPAÑA, S.A.;;8613,36;;;5618,25;
MANUEL OBRERO RUIZ, S.A.;;;;;;
MANUFACTURAS ALCO S.A.;;;;;;
MANUFACTURAS GRE, S.A.;;;;;;
MANUFACTURAS M. SOLER, S.L.;;;;;;
MAQUINARIA DISBER, S.L.;116,74;;;;;
MARCA PROTECCION LABORAL, S.L.;;527;;;;
MEPLAS JAR, S.L.;;2057,24;;;1176,23;
MIARCO, S.L.;;;;;;
MICEL-VEGA, S.L.;;;;;;
MIRALBUENO PRODUCTS, S.L.;;;;;;
MODERN BATH STAGE,S.L.;;;;13,16;;
MOTORES CAMPEON, S.L.;;;;;;
NEVIR, S.A.;;;;;;
NINGBO BATTERY & ELEC.APPL,LTD;;;;;;
NINGBO ZHONGLIN FOREIGN TRADE CO., LTD;;;;;;
NMZ, SL;;;;;;
NORTENE HOME DEPOT SL;;;;28,59;492,48;
NOVARTIX TRADING, S.L.;;;;;;
NOVODINAMICA SL;;;;;;
OLIPES, S.L.;;;;;;
OLIVERAS GUERRIS, S.A.;13,05;;;;;
OPTOR, S.A.U.;;;;;;
PAPELES EL CARMEN, S.A.;;;;;;
PFERD-RUGGEBERG, S.A.;;;;;488,71;
PLABELL COMERCIAL, S.L.;;;;;;
PLASTICOS TA-TAY, S.A.;36,1;;;53,67;;
PLASTIKEN, S.L.U.;;;;;;
PLASVIDAVI INYECCION, S.L.;;;;;;
PONTAROLO ENGINEERING SPA;;;;;;
PRACTICEL, S.L.;;;;;;
PRIMICIAS TECN. CARDI, S.L.;53,9;;;51,72;;
PROCO-DIS, S.L.;;;;;;
PRODUCTOS CLIMAX S.A.;243,6;;;;;
PRODUCTOS FLOWER, S.A.;;;;;;
PRODUCTOS McLAND, S.L.;;;;;18,8;
PRODUCTOS QP, S.A.;;;;;;
QINGDAO GOLD-DRAGON CO., LTD;;;;;;
QUIMICA DEL CENTRO, S.A.U.;62,46;;;51,51;;
QUIMIMONT, S.L.U;;;;;;
RADIO CARRERA, S.A;;;;;;
RESINAS OLOT, S.L.;;;;;;
RIOJA MOMOSA 93, S.L;;;;;735,52;
RIVER INTERNATIONAL, S.A.;;;;;;
ROBERT BOSCH ESPAÑA, S.L.U.;;;;107,17;;
ROLSER, S.A.;;;;;;
ROMBULL RONETS, S.L.;;;;;;
RUEDAS ALEX, S.L.U.;;207,01;;;;
RUGART PLASTICOS IBERICA, SL;;;;;;
RULO PLUMA, S.A.;;;;;;
S.A. HERRAJES DE CORREDERA;;;;;;
SAINT GENIS, S.A.;;;;;;
SAINT GOBAIN ABRASIVOS, S.A.;;;;;;
SAMOA INDUSTRIAL, S.A.;;237,39;;;;
SAUVIC, S.L.;;;;;;
SEDILES, S.A.;84,93;;;;;
SEINEC, S.A.;126,85;;;;;
SELENA IBERIA, S.L.U.;104,75;;;;;
SHANGHAI STONG INDUSTRY CO., LTD;;;;;;
SILVER SANZ, S.A.;;;;;;
SIMON BRICO, S.L.;;;;;;
SNA EUROPE INDUSTR. IBERIA,S.A;96,22;971,39;;23,18;2310,14;
SOURCING SPECIALISTS S.L.;;;;315,71;;
SPAX TORNILLERIA, S.A.U.;;3860,82;;;91,83;
STANLEY BLACK DECKER IBER.,SLU;;;;;807,43;
STIGA, SPA;;;;;;
STOCK PLUS, S.L.;;;;1710,99;;
SUC.DE FALIP NAVARRO,S.A.;;;;126,03;;
SUMINISTROS INDUST.BELLOSO,S.L;;;;308,98;;
SUPER EGO TOOLS, S.L.U;;;;;;
SUZHOU KOTA HARDWARE&TOOLS CO.,LTD;;;;58,75;;
SWISSINNO SOLUTIONS AG;116,1;;;8,51;;
TALLER HNOS.CATALINA, S.A.;17,34;;;;;
TALLERES ESCORIAZA, S.A.U.;;;;;;
TALLERES MECA. BIANDITZ, S.L.;;;;;;
TALLERES TREPAT, S.A.;;997,5;;;120,22;
TECHXIN ELEC.APPL.MANUF.CO.LTD;;;;;;
TECNICAS EXPANSIVAS, S.L.;;;;;1520,52;
TECNOLOGIAS DE AISLAMIENTOS Y CLIMATIZACION, SL;;;;;;
TEICOCIL ESPAÑA, S.L.;240,83;;;;;
TELCOMDIS TECNOLOGIA, S.L.;;;;;;
TEMPEL, S.A.;;;;;;
TESA TAPE, S.A.;;;;;1099;
TESCOMA ESPAÑA, S.L.;;;;;;
TEXLIMCA, S.A.;;;;;;
THE PAPER&OFFICE EQUI.SPAIN,SA;;;;;;
TOMAS BODERO S.A.;;1826,9;;;1826,06;
TORNILLERA ARAGONESA,S.A.;;;;;;
TOYOTOMI EURO SALES SPA, S.A.;;;;;;
TRACTEL IBERICA, S.A.;;;;;;
TREFILERIA ALISEDA, S.L.;;;;43,76;;
UMACON, S.A.;;;;;;
UNIVERSAL FOR ENGINEERING INDUSTRIES SPAIN SL;;;;;;
URKO TOOLS, S.A.;;;;;;
VARILLA ROSCADA, S.A.;;;;;100,9;
VARO IBERICA BRICOLAGE, S.L.;;;;60,71;;
VARTA CONSUMER BAT IBERIA, SL;110,04;;;135,12;;
VELILLA CONFECCION INDUST.,S.A;;;;;;
VELILLA GROUP EUROPE, SL;;;;;159,28;
VERA ARTICULOS DE GOMA, S.L.;;;;30,19;;
VOLA-INSTRUMENTS, S.L.;;;;;;
WD-40 C12165OMPANY LTD. ESPAÑA;;;;;;
WEBER STHEPHEN IBERICA, S.R.L;;;;;;
WENKO HISPANIA, S.L.;;;;;;
WINNER SMART, LTD;;;;;;
WOLF GROUP IBERICO S.A.U;;4739,28;;;2310,46;
WOLFCRAFT GMBH;;;;;;
XCELLENT MFG.ASSOCIATES CO.;80,2;;;;;
YONGKANG HAILI IND.,Co.Ltd.;;;;;;
YULIT INDUSTRIES CO. ,LTD.;;;;;;
ZHEJIANG MINZO NEW MAT.CO.LTD;;;;;;
ZHEJIANG ZHENGTE CO., LTD.;;;;;;
