PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
INDUSTRIAS LOTU, S.A.;;;;;;
INDUSTRIAS MURTRA, S.A.;;1712,67;;;3295,60;
INDUSTRIAS SAMART, S.A.;;150;;;1805,02;
INDUSTRIAS TAYG, S.L.;597,58;5453,92;;3508,73;1586,70;
INNOV8 IBERIA, SL;;;;9,68;;
INTERMAS NETS, SA;;;;;;
IREGA, S.A;;74,87;;;192,97;
ITEM INTERNACIONAL, S.A.;;;;;;
IZAR CUTTING TOOLS, S.A.L.;;29,92;;81,91;;
JAIME GARCIA MOLL, S.L.;34,13;;;;;
JAZ-ZUBIAURRE, S.A.;;59,55;;;107,45;
JCOPLASTIC IBERICA 2000, S.L.;86,19;;;258,57;;
JMA ALEJANDRO ALTUNA, S.L.;177,70;;;438,25;;
JUBA PERSONAL PROT.EQUIP.,S.L;;20482,05;;78,28;11074,07;
KARCHER, S.A.;153,86;;;;;
KB8 IBERICA, SLU;70,54;;;;;
KELNO HK LIMITED;2002,04;;;862,95;;
KERKOM 360, S.A;8,18;;;38,54;;
KETER IBERIA, S.L.U.;231,49;;;;;
KNIPEX-WERK;3621,02;;;4128,43;;
KOOPMAN INTERNATIONAL, B.V.;;;;;;
KOVYX OUTDOOR, S.L.;;;;8,32;;
KRAFFT, S.L. (Unipersonal);256,86;40231,42;;984,58;47017,61;
KRIPXE. S.A.;;1350,54;;;3667,71;
LABORATORIOS RAYT, S.A.;299,54;;;299,27;;
LAICA IBERIA DISTRIBUCION SL;;;;;;
LEDVANCE, S.A.U.;;;;;;
LINEA PLUS ESSEGE, S.L.U.;;;;215,58;;
MAIOL GERMANS, S.L.;335,53;;;677,51;;
MAKITA ESPAÑA, S.A.;;85031,35;;;81540,06;
MANUEL OBRERO RUIZ, S.A.;184,34;;;;;
MANUFACTURAS ALCO S.A.;;;;39,88;;
MANUFACTURAS M. SOLER, S.L.;141,69;;;206,01;;
MAQUINARIA DISBER, S.L.;484,54;;;419,29;;
MARCA PROTECCION LABORAL, S.L.;;5879,22;;569,06;6983,93;
MEPLAS JAR, S.L.;;13353,18;;;14734,23;
METALTEX IBERIA, S.L.;2,13;;;;;
MIARCO, S.L.;;;;;295,39;
MICEL-VEGA, S.L.;;;;25,64;;
MIRALBUENO PRODUCTS, S.L.;;;;;923,28;
MODERN BATH STAGE,S.L.;;;;13,16;;
MOTORES CAMPEON, S.L.;828,57;1856,81;;425,57;;
NEVIR, S.A.;49,46;;;49,46;;
NINGBO ZHONGLIN FOREIGN TRADE CO., LTD;28,01;;;28,83;;
NORTENE HOME DEPOT SL;368,90;4122,71;;946,88;14091,50;
NOVARTIX TRADING, S.L.;399,06;;;67,52;363;
NOVODINAMICA SL;;239;;;333;
OLIPES, S.L.;;;;;;
OLIVERAS GUERRIS, S.A.;67,05;;;54;;
OPTOR, S.A.U.;96,34;4570,59;;179,65;4505,42;
PAPELES EL CARMEN, S.A.;;;;32,25;;
PFERD-RUGGEBERG, S.A.;;1381,34;;;1937,96;
PLABELL COMERCIAL, S.L.;;441,74;;;;
PLASMIR, S.A.;92,95;;;;;
PLASTICOS TA-TAY, S.A.;126,36;;;293,10;;
PLASTIKEN, S.L.U.;65,07;;;;;
PLASVIDAVI INYECCION, S.L.;;;;18,74;;
PRIMICIAS TECN. CARDI, S.L.;445,16;;;311,72;;
PROCO-DIS, S.L.;12,25;;;13,74;;
PRODUCTOS CLIMAX S.A.;1141,42;4086,87;;359,73;4906,31;
PRODUCTOS FLOWER, S.A.;23,89;;;89,31;;
PRODUCTOS McLAND, S.L.;278,00;;;952,41;1700,54;
PRODUCTOS QP, S.A.;;;;189,49;;
QINGDAO GOLD-DRAGON CO., LTD;;;;706,95;;
QUIMICA DEL CENTRO, S.A.U.;372,37;;;287,17;;
QUIMIMONT, S.L.U;;;;;522,71;
RADIO CARRERA, S.A;536,43;;;;;295,96
RIOJA MOMOSA 93, S.L;;4483,27;;;4283,00;
RIVER INTERNATIONAL, S.A.;55,46;;;21,83;;
ROBERT BOSCH ESPAÑA, S.L.U.;1037,68;;;392,18;;
ROLSER, S.A.;286,64;;;389,98;;
ROMBULL RONETS, S.L.;857,08;438,83;;93,33;126,4;
RUEDAS ALEX, S.L.U.;;5629,17;;;8406,36;
RUGART PLASTICOS IBERICA, SL;1110,99;;;972,79;;
RULO PLUMA, S.A.;;2105,25;;118,38;1801,23;
S.A. HERRAJES DE CORREDERA;;1678,58;;;2049,25;
SAINT GENIS, S.A.;;;;1,52;;
SAINT GOBAIN ABRASIVOS, S.A.;174,10;3931,70;;182,07;2085,75;
SAMOA INDUSTRIAL, S.A.;;2390,33;;;4243,96;
SANZ HERMANOS VALENCIA, S.L;;75,26;;;;
SAUVIC, S.L.;;;;;;
SEDILES, S.A.;169,86;;;384,32;;
SEINEC, S.A.;1255,47;;;1395,24;;
SELENA IBERIA, S.L.U.;;;;;;
SHANGHAI STONG INDUSTRY CO., LTD;19,81;;;;;
SILVER SANZ, S.A.;93,49;;;;;
SIMON BRICO, S.L.;152,45;;;20,43;;
SNA EUROPE INDUSTR. IBERIA,S.A;276,46;26873,11;;240,16;30061,59;
SOURCING SPECIALISTS S.L.;703,93;;;3701,31;;
SPAX TORNILLERIA, S.A.U.;;13302,37;;27,73;10116,19;
SP-BERNER PLASTIC GROUP, S.L.;29,37;;;;;
STANLEY BLACK DECKER IBER.,SLU;813,43;3986,71;;985,29;7791,61;
STIGA, SPA;50,03;;;;;
STOCK PLUS, S.L.;41,77;;;13892,49;;
SUC.DE FALIP NAVARRO,S.A.;864,03;;;480,86;;
SUMINISTROS INDUST.BELLOSO,S.L;181,15;;;970,28;616,2;
SUPER EGO TOOLS, S.L.U;7,42;36,31;;180,71;;
SUZHOU KOTA HARDWARE&TOOLS CO.,LTD;144,33;;;132,77;;
SWISSINNO SOLUTIONS AG;333,32;;;388,32;;
TALLER HNOS.CATALINA, S.A.;17,34;;;384,16;;
TALLERES ESCORIAZA, S.A.U.;194,74;4300,43;;328,79;1928,76;
TALLERES MECA. BIANDITZ, S.L.;;;;33,52;;
TALLERES TREPAT, S.A.;;2019,9;;;3714,78;
TECHXIN ELEC.APPL.MANUF.CO.LTD;40,18;;;;;
TECNICAS EXPANSIVAS, S.L.;;20164,49;;358,79;25040,21;
TECNOLOGIAS DE AISLAMIENTOS Y CLIMATIZACION, SL;;;;95,85;;
TEICOCIL ESPAÑA, S.L.;722,49;;;1986,27;;
TELCOMDIS TECNOLOGIA, S.L.;;;;98,90;;
TEMPEL, S.A.;;;;97,87;;
TESA TAPE, S.A.;;9680,67;;3606,42;4478,60;
TEXLIMCA, S.A.;2560,94;896,7;;2504,77;;
THE PAPER&OFFICE EQUI.SPAIN,SA;;1752,75;;1,49;;
TOMAS BODERO S.A.;;17119,09;;1741,56;14306,02;
TORNILLERA ARAGONESA,S.A.;;;;62,49;;
TOYOTOMI EURO SALES SPA, S.A.;35,81;;;165,18;;
TRACTEL IBERICA, S.A.;;2968,15;;;2838,89;
TREFILERIA ALISEDA, S.L.;2717,94;;;2313,78;2536,38;
UMACON, S.A.;;;;;103,60;
UNIVERSAL FOR ENGINEERING INDUSTRIES SPAIN SL;;;;187,76;;
URKO TOOLS, S.A.;;1356,92;;;3006,53;
VARILLA ROSCADA, S.A.;;5474,54;;;3664,58;
VARO IBERICA BRICOLAGE, S.L.;185,99;;;452,73;;
VARTA CONSUMER BAT IBERIA, SL;1310,60;;;1068,20;;
VELILLA GROUP EUROPE, SL;;1869,04;;;831,24;
VERA ARTICULOS DE GOMA, S.L.;405,95;;;189,46;;
VOLA-INSTRUMENTS, S.L.;;;;32,83;;
WD-40 C12165OMPANY LTD. ESPAÑA;3770,60;;;2162,89;;
WEBER STHEPHEN IBERICA, S.R.L;299;;;;;
WOLF GROUP IBERICO S.A.U;34,08;12785,20;;792,31;12287,26;
WOLFCRAFT GMBH;14,5;;;53,62;;
XCELLENT MFG.ASSOCIATES CO.;265,97;;;576,30;;
YONGKANG HAILI IND.,Co.Ltd.;;;;99,39;;
YULIT INDUSTRIES CO. ,LTD.;;;;25,39;;
ZHEJIANG MINZO NEW MAT.CO.LTD;1222,12;;;1338,84;;
