PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
TESA TAPE, S.A.;;3401,86;;;1099;
TESCOMA ESPAÑA, S.L.;;;;;;
TEXLIMCA, S.A.;576,76;;;92,18;;
THE PAPER&OFFICE EQUI.SPAIN,SA;;612,3;;1,49;;
TOMAS BODERO S.A.;;5148,5;;629,6;4179,67;
TORNILLERA ARAGONESA,S.A.;;;;41,66;;
TOYOTOMI EURO SALES SPA, S.A.;;;;;;
TRACTEL IBERICA, S.A.;;;;;;
TREFILERIA ALISEDA, S.L.;645,71;;;496,48;1242;
UMACON, S.A.;;;;;;
UNIVERSAL FOR ENGINEERING INDUSTRIES SPAIN SL;;;;;;
URKO TOOLS, S.A.;;147,08;;;722,32;
VARILLA ROSCADA, S.A.;;;;;1421,84;
VARO IBERICA BRICOLAGE, S.L.;;;;60,71;;
VARTA CONSUMER BAT IBERIA, SL;280,84;;;190,14;;
VELILLA GROUP EUROPE, SL;;;;;159,28;
VERA ARTICULOS DE GOMA, S.L.;;;;30,19;;
VOLA-INSTRUMENTS, S.L.;;;;;;
WD-40 C12165OMPANY LTD. ESPAÑA;553,25;;;135,62;;
WEBER STHEPHEN IBERICA, S.R.L;;;;;;
WINNER SMART, LTD;;;;;;
WOLF GROUP IBERICO S.A.U;;4739,28;;;4441,66;
WOLFCRAFT GMBH;;;;;;
XCELLENT MFG.ASSOCIATES CO.;80,2;;;;;
YONGKANG HAILI IND.,Co.Ltd.;;;;;;
YULIT INDUSTRIES CO. ,LTD.;;;;;;
ZHEJIANG MINZO NEW MAT.CO.LTD;;;;;;
ZHEJIANG ZHENGTE CO., LTD.;;;;;;
