PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
;;;;;;
3L INTERNACIONAL, S.A.;;;;;;
MAKITA ESPAÑA, S.A.;;29955,98;;;29599,06;
MANUEL OBRERO RUIZ, S.A.;184,34;;;;;
MANUFACTURAS ALCO S.A.;;;;;;
MANUFACTURAS GRE, S.A.;;;;;;
MANUFACTURAS M. SOLER, S.L.;;;;10,04;;
MAQUINARIA DISBER, S.L.;116,74;;;169,05;;
MARCA PROTECCION LABORAL, S.L.;;3793,82;;569,06;2541,80;
MEPLAS JAR, S.L.;;3272,61;;;8272,70;
METALTEX IBERIA, S.L.;2,13;;;;;
MIARCO, S.L.;;;;;295,39;
MICEL-VEGA, S.L.;;;;;;
MIRALBUENO PRODUCTS, S.L.;;;;;923,28;
MODERN BATH STAGE,S.L.;;;;13,16;;
MOTORES CAMPEON, S.L.;828,57;1717,18;;425,57;;
NEVIR, S.A.;49,46;;;49,46;;
NINGBO ZHONGLIN FOREIGN TRADE CO., LTD;;;;;;
NMZ, SL;;;;;;
NORTENE HOME DEPOT SL;83,82;1430,37;;196,14;10168,12;
NOVARTIX TRADING, S.L.;177,66;;;;;
NOVODINAMICA SL;;;;;;
OLIPES, S.L.;;;;;;
OLIVERAS GUERRIS, S.A.;67,05;;;54;;
OPTOR, S.A.U.;;;;96,34;2311,58;
PAPELES EL CARMEN, S.A.;;;;32,25;;
PFERD-RUGGEBERG, S.A.;;;;;716,66;
PLABELL COMERCIAL, S.L.;;;;;;
PLASTICOS TA-TAY, S.A.;36,1;;;89,77;;
PLASVIDAVI INYECCION, S.L.;;;;;;
PONTAROLO ENGINEERING SPA;;;;;;
PRIMICIAS TECN. CARDI, S.L.;53,9;;;189,64;;
PROCO-DIS, S.L.;;;;;;
PRODUCTOS CLIMAX S.A.;548,52;598,72;;;3165,05;
PRODUCTOS FLOWER, S.A.;;;;25,93;;
PRODUCTOS McLAND, S.L.;137,45;;;180,02;540,77;
PRODUCTOS QP, S.A.;;;;;;
QINGDAO GOLD-DRAGON CO., LTD;;;;92,78;;
QUIMICA DEL CENTRO, S.A.U.;163,47;;;130,40;;
QUIMIMONT, S.L.U;;;;;522,71;
RADIO CARRERA, S.A;536,43;;;;;
RESINAS OLOT, S.L.;;;;;;
RIOJA MOMOSA 93, S.L;;1110,08;;;1863,37;
RIVER INTERNATIONAL, S.A.;;;;;;
ROBERT BOSCH ESPAÑA, S.L.U.;676,00;;;392,18;;
ROLSER, S.A.;75,05;;;129,07;;
ROMBULL RONETS, S.L.;271,32;191,22;;;;
RUEDAS ALEX, S.L.U.;;1735,19;;;3842,98;
RUGART PLASTICOS IBERICA, SL;542,68;;;684,32;;
RULO PLUMA, S.A.;;796,8;;;347,11;
S.A. HERRAJES DE CORREDERA;;1285,24;;;800,80;
SAINT GENIS, S.A.;;;;1,52;;
SAINT GOBAIN ABRASIVOS, S.A.;157,72;753,1;;116,47;900,45;
SAMOA INDUSTRIAL, S.A.;;1789,57;;;759,36;
SANZ HERMANOS VALENCIA, S.L;;75,26;;;;
SAUVIC, S.L.;;;;;;
SEDILES, S.A.;84,93;;;235,97;;
SEINEC, S.A.;369,81;;;169,31;;
SELENA IBERIA, S.L.U.;;;;;;
SHANGHAI STONG INDUSTRY CO., LTD;19,81;;;;;
SILVER SANZ, S.A.;;;;;;
SIMON BRICO, S.L.;;;;;;
SNA EUROPE INDUSTR. IBERIA,S.A;276,46;9293,06;;156,30;13366,21;
SOURCING SPECIALISTS S.L.;545,45;;;2321,93;;
SPAX TORNILLERIA, S.A.U.;;5799,43;;12,81;3295,99;
SP-BERNER PLASTIC GROUP, S.L.;29,37;;;;;
STANLEY BLACK DECKER IBER.,SLU;21,78;94,02;;356,58;4382,10;
STIGA, SPA;50,03;;;;;
STOCK PLUS, S.L.;4,64;;;6734,25;;
SUC.DE FALIP NAVARRO,S.A.;345,38;;;156,71;;
SUMINISTROS INDUST.BELLOSO,S.L;43,6;;;970,28;616,2;
SUPER EGO TOOLS, S.L.U;7,42;36,31;;;;
SUZHOU KOTA HARDWARE&TOOLS CO.,LTD;33,96;;;58,75;;
SWISSINNO SOLUTIONS AG;116,1;;;100,03;;
TALLER HNOS.CATALINA, S.A.;17,34;;;14,78;;
TALLERES ESCORIAZA, S.A.U.;;2816,11;;181,66;1557,5;
TALLERES MECA. BIANDITZ, S.L.;;;;;;
TALLERES TREPAT, S.A.;;997,5;;;1117,72;
TECHXIN ELEC.APPL.MANUF.CO.LTD;;;;;;
TECNICAS EXPANSIVAS, S.L.;;5184,55;;;10990,79;
TECNOLOGIAS DE AISLAMIENTOS Y CLIMATIZACION, SL;;;;;;
TEICOCIL ESPAÑA, S.L.;722,49;;;1117,28;;
TELCOMDIS TECNOLOGIA, S.L.;;;;98,90;;
TEMPEL, S.A.;;;;97,87;;
TESA TAPE, S.A.;;5403,77;;1088,77;2693,01;
TESCOMA ESPAÑA, S.L.;;;;;;
TEXLIMCA, S.A.;1594,06;;;743,28;;
THE PAPER&OFFICE EQUI.SPAIN,SA;;981,99;;1,49;;
TOMAS BODERO S.A.;;7949,9;;1196,24;6721,17;
TORNILLERA ARAGONESA,S.A.;;;;41,66;;
TOYOTOMI EURO SALES SPA, S.A.;28,65;;;;;
TRACTEL IBERICA, S.A.;;;;;1388,81;
TREFILERIA ALISEDA, S.L.;745,35;;;1229,11;1242;
UMACON, S.A.;;;;;;
UNIVERSAL FOR ENGINEERING INDUSTRIES SPAIN SL;;;;;;
URKO TOOLS, S.A.;;294,25;;;1641,92;
VARILLA ROSCADA, S.A.;;1302,23;;;1502,16;
VARO IBERICA BRICOLAGE, S.L.;;;;266,26;;
VARTA CONSUMER BAT IBERIA, SL;389,20;;;454,06;;
VELILLA GROUP EUROPE, SL;;980,48;;;159,28;
VERA ARTICULOS DE GOMA, S.L.;;;;117,63;;
VOLA-INSTRUMENTS, S.L.;;;;;;
WD-40 C12165OMPANY LTD. ESPAÑA;962,28;;;406,87;;
WEBER STHEPHEN IBERICA, S.R.L;299;;;;;
WINNER SMART, LTD;;;;;;
WOLF GROUP IBERICO S.A.U;;6972,84;;273,92;5005,18;
WOLFCRAFT GMBH;;;;;;
XCELLENT MFG.ASSOCIATES CO.;85,14;;;422,74;;
YONGKANG HAILI IND.,Co.Ltd.;;;;99,39;;
YULIT INDUSTRIES CO. ,LTD.;;;;;;
ZHEJIANG MINZO NEW MAT.CO.LTD;583;;;1075,88;;
