PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
MAQUINARIA DISBER, S.L.;306,65;;;294,48;;
MARCA PROTECCION LABORAL, S.L.;;4998,61;;569,06;6167,41;
MEPLAS JAR, S.L.;;9999,58;;;12033,40;
METALTEX IBERIA, S.L.;2,13;;;;;
MIARCO, S.L.;;;;;295,39;
MICEL-VEGA, S.L.;;;;;;
MIRALBUENO PRODUCTS, S.L.;;;;;923,28;
MODERN BATH STAGE,S.L.;;;;13,16;;
MOTORES CAMPEON, S.L.;828,57;1856,81;;425,57;;
NEVIR, S.A.;49,46;;;49,46;;
NINGBO ZHONGLIN FOREIGN TRADE CO., LTD;;;;28,83;;
NORTENE HOME DEPOT SL;368,90;2699,13;;946,88;14091,50;
NOVARTIX TRADING, S.L.;319,26;;;67,52;;
NOVODINAMICA SL;;;;;333;
OLIPES, S.L.;;;;;;
OLIVERAS GUERRIS, S.A.;67,05;;;54;;
OPTOR, S.A.U.;96,34;2281,63;;179,65;3674,48;
PAPELES EL CARMEN, S.A.;;;;32,25;;
PFERD-RUGGEBERG, S.A.;;978,94;;;1211,81;
PLABELL COMERCIAL, S.L.;;;;;;
PLASTICOS TA-TAY, S.A.;74,75;;;192,36;;
PLASTIKEN, S.L.U.;65,07;;;;;
PLASVIDAVI INYECCION, S.L.;;;;;;
PRIMICIAS TECN. CARDI, S.L.;161,71;;;268,70;;
PROCO-DIS, S.L.;12,25;;;13,74;;
PRODUCTOS CLIMAX S.A.;802,62;2499,12;;359,73;4324,30;
PRODUCTOS FLOWER, S.A.;;;;57,82;;
PRODUCTOS McLAND, S.L.;184,29;;;677,51;1062,74;
PRODUCTOS QP, S.A.;;;;;;
QINGDAO GOLD-DRAGON CO., LTD;;;;386,71;;
QUIMICA DEL CENTRO, S.A.U.;287,68;;;279,46;;
QUIMIMONT, S.L.U;;;;;522,71;
RADIO CARRERA, S.A;536,43;;;;;
RESINAS OLOT, S.L.;;;;;;
RIOJA MOMOSA 93, S.L;;2177,04;;;3492,52;
RIVER INTERNATIONAL, S.A.;;;;;;
ROBERT BOSCH ESPAÑA, S.L.U.;1033,31;;;392,18;;
ROLSER, S.A.;75,05;;;331,64;;
ROMBULL RONETS, S.L.;612,28;191,22;;;126,4;
RUEDAS ALEX, S.L.U.;;4723,43;;;7158,79;
RUGART PLASTICOS IBERICA, SL;803,54;;;684,32;;
RULO PLUMA, S.A.;;986,75;;67,8;754,55;
S.A. HERRAJES DE CORREDERA;;1678,58;;;2633,11;
SAINT GENIS, S.A.;;;;1,52;;
SAINT GOBAIN ABRASIVOS, S.A.;157,72;2578,95;;182,07;1522,45;
SAMOA INDUSTRIAL, S.A.;;2368,43;;;3701,13;
SANZ HERMANOS VALENCIA, S.L;;75,26;;;;
SAUVIC, S.L.;;;;;;
SEDILES, S.A.;169,86;;;384,32;;
SEINEC, S.A.;621,87;;;775,01;;
SELENA IBERIA, S.L.U.;;;;;;
SHANGHAI STONG INDUSTRY CO., LTD;19,81;;;;;
SILVER SANZ, S.A.;;;;;;
SIMON BRICO, S.L.;111,23;;;6,81;;
SNA EUROPE INDUSTR. IBERIA,S.A;276,46;17458,31;;210,02;22012,68;
SOURCING SPECIALISTS S.L.;703,93;;;3607,65;;
SPAX TORNILLERIA, S.A.U.;;10489,92;;12,81;8260,91;
SP-BERNER PLASTIC GROUP, S.L.;29,37;;;;;
STANLEY BLACK DECKER IBER.,SLU;780,45;2195,81;;890,46;6859,87;
STIGA, SPA;50,03;;;;;
STOCK PLUS, S.L.;4,64;;;12503,25;;
SUC.DE FALIP NAVARRO,S.A.;538,75;;;392,28;;
SUMINISTROS INDUST.BELLOSO,S.L;181,15;;;970,28;616,2;
SUPER EGO TOOLS, S.L.U;7,42;36,31;;180,71;;
SUZHOU KOTA HARDWARE&TOOLS CO.,LTD;33,96;;;64,85;;
SWISSINNO SOLUTIONS AG;116,1;;;296,80;;
TALLER HNOS.CATALINA, S.A.;17,34;;;384,16;;
TALLERES ESCORIAZA, S.A.U.;47,6;2816,11;;328,79;1928,76;
TALLERES MECA. BIANDITZ, S.L.;;;;15,24;;
TALLERES TREPAT, S.A.;;997,5;;;2717,28;
TECHXIN ELEC.APPL.MANUF.CO.LTD;40,18;;;;;
TECNICAS EXPANSIVAS, S.L.;;15021,87;;358,79;18744,77;
TECNOLOGIAS DE AISLAMIENTOS Y CLIMATIZACION, SL;;;;95,85;;
TEICOCIL ESPAÑA, S.L.;722,49;;;1737,99;;
TELCOMDIS TECNOLOGIA, S.L.;;;;98,90;;
TEMPEL, S.A.;;;;97,87;;
TESA TAPE, S.A.;;6292,85;;2165,16;4478,60;
TESCOMA ESPAÑA, S.L.;;;;;;
TEXLIMCA, S.A.;2560,94;382,2;;2027,50;;
THE PAPER&OFFICE EQUI.SPAIN,SA;;1383,72;;1,49;;
TOMAS BODERO S.A.;;14104,51;;1473,36;12450,23;
TORNILLERA ARAGONESA,S.A.;;;;62,49;;
TOYOTOMI EURO SALES SPA, S.A.;35,81;;;;;
TRACTEL IBERICA, S.A.;;2232,2;;;2077,26;
TREFILERIA ALISEDA, S.L.;2216,18;;;1825,10;2536,38;
UMACON, S.A.;;;;;54,14;
UNIVERSAL FOR ENGINEERING INDUSTRIES SPAIN SL;;;;187,76;;
URKO TOOLS, S.A.;;1083,61;;;2946,13;
VARILLA ROSCADA, S.A.;;4206,50;;;2580,91;
