PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
SILVER SANZ, S.A.;;;;;;
SIMON BRICO, S.L.;41,22;;;;;
SNA EUROPE INDUSTR. IBERIA,S.A;276,46;10621,55;;210,02;15739,16;
SOURCING SPECIALISTS S.L.;703,93;;;3097,47;;
SPAX TORNILLERIA, S.A.U.;;6934,56;;12,81;6148,74;
SP-BERNER PLASTIC GROUP, S.L.;29,37;;;;;
STANLEY BLACK DECKER IBER.,SLU;401,11;1784,02;;451,41;5651,25;
STIGA, SPA;50,03;;;;;
STOCK PLUS, S.L.;4,64;;;8335,53;;
SUC.DE FALIP NAVARRO,S.A.;391,50;;;156,71;;
SUMINISTROS INDUST.BELLOSO,S.L;43,6;;;970,28;616,2;
SUPER EGO TOOLS, S.L.U;7,42;36,31;;;;
SUZHOU KOTA HARDWARE&TOOLS CO.,LTD;33,96;;;58,75;;
SWISSINNO SOLUTIONS AG;116,1;;;100,03;;
TALLER HNOS.CATALINA, S.A.;17,34;;;384,16;;
TALLERES ESCORIAZA, S.A.U.;;2816,11;;328,79;1829,68;
TALLERES MECA. BIANDITZ, S.L.;;;;;;
TALLERES TREPAT, S.A.;;997,5;;;2115,22;
TECHXIN ELEC.APPL.MANUF.CO.LTD;;;;;;
TECNICAS EXPANSIVAS, S.L.;;7901,88;;300,62;13210,77;
TECNOLOGIAS DE AISLAMIENTOS Y CLIMATIZACION, SL;;;;;;
TEICOCIL ESPAÑA, S.L.;722,49;;;1489,71;;
TELCOMDIS TECNOLOGIA, S.L.;;;;98,90;;
TEMPEL, S.A.;;;;97,87;;
TESA TAPE, S.A.;;5403,77;;1314,77;2693,01;
TESCOMA ESPAÑA, S.L.;;;;;;
TEXLIMCA, S.A.;1933,06;;;1082,28;;
THE PAPER&OFFICE EQUI.SPAIN,SA;;981,99;;1,49;;
TOMAS BODERO S.A.;;9539,0;;1196,24;9333,37;
TORNILLERA ARAGONESA,S.A.;;;;41,66;;
TOYOTOMI EURO SALES SPA, S.A.;35,81;;;;;
TRACTEL IBERICA, S.A.;;1523,1;;;1388,81;
TREFILERIA ALISEDA, S.L.;1160,51;;;1635,48;2536,38;
UMACON, S.A.;;;;;;
UNIVERSAL FOR ENGINEERING INDUSTRIES SPAIN SL;;;;;;
URKO TOOLS, S.A.;;511,90;;;1948,81;
VARILLA ROSCADA, S.A.;;1512,81;;;1502,16;
VARO IBERICA BRICOLAGE, S.L.;107,51;;;266,26;;
VARTA CONSUMER BAT IBERIA, SL;635,71;;;707,42;;
VELILLA GROUP EUROPE, SL;;1009,69;;;159,28;
VERA ARTICULOS DE GOMA, S.L.;;;;117,63;;
VOLA-INSTRUMENTS, S.L.;;;;;;
WD-40 C12165OMPANY LTD. ESPAÑA;1389,62;;;556,25;;
WEBER STHEPHEN IBERICA, S.R.L;299;;;;;
WINNER SMART, LTD;;;;;;
WOLF GROUP IBERICO S.A.U;;7652,36;;273,92;7403,62;
WOLFCRAFT GMBH;;;;;;
XCELLENT MFG.ASSOCIATES CO.;85,14;;;431,40;;
YONGKANG HAILI IND.,Co.Ltd.;;;;99,39;;
YULIT INDUSTRIES CO. ,LTD.;;;;25,39;;
ZHEJIANG MINZO NEW MAT.CO.LTD;886,55;;;1075,88;;
