PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
ISOGONA, S.L.;;;;;;
ITEM INTERNACIONAL, S.A.;;;;;;
IZAR CUTTING TOOLS, S.A.L.;;29,92;;;;
JAIME GARCIA MOLL, S.L.;34,13;;;;;
JAZ-ZUBIAURRE, S.A.;;59,55;;;107,45;
JCOPLASTIC IBERICA 2000, S.L.;86,19;;;258,57;;
JMA ALEJANDRO ALTUNA, S.L.;146,09;;;392,28;;
JUBA PERSONAL PROT.EQUIP.,S.L;;18553,33;;78,28;11074,07;
KARCHER, S.A.;153,86;;;;;
KB8 IBERICA, SLU;70,54;;;;;
KELNO HK LIMITED;1002,34;;;862,95;;
KERKOM 360, S.A;8,18;;;38,54;;
KETER IBERIA, S.L.U.;231,49;;;;;
KNIPEX-WERK;2700,70;;;4029,00;;
KOOPMAN INTERNATIONAL, B.V.;;;;;;
KOVYX OUTDOOR, S.L.;;;;8,32;;
KRAFFT, S.L. (Unipersonal);256,86;34431,11;;684,91;37441,47;
KRIPXE. S.A.;;1350,54;;;2674,41;
LABORATORIOS RAYT, S.A.;299,54;;;249,49;;
LAICA IBERIA DISTRIBUCION SL;;;;;;
LEDVANCE, S.A.U.;;;;;;
LINEA PLUS ESSEGE, S.L.U.;;;;215,58;;
MAIOL GERMANS, S.L.;255,78;;;677,51;;
MAKITA ESPAÑA, S.A.;;65866,27;;;76865,77;
MANUEL OBRERO RUIZ, S.A.;184,34;;;;;
MANUFACTURAS ALCO S.A.;;;;39,88;;
MANUFACTURAS GRE, S.A.;;;;;;
MANUFACTURAS M. SOLER, S.L.;90,23;;;145,85;;
MAQUINARIA DISBER, S.L.;334,52;;;294,48;;
MARCA PROTECCION LABORAL, S.L.;;5879,22;;569,06;6983,93;
MEPLAS JAR, S.L.;;11827,83;;;12033,40;
METALTEX IBERIA, S.L.;2,13;;;;;
MIARCO, S.L.;;;;;295,39;
MICEL-VEGA, S.L.;;;;;;
MIRALBUENO PRODUCTS, S.L.;;;;;923,28;
MODERN BATH STAGE,S.L.;;;;13,16;;
MOTORES CAMPEON, S.L.;828,57;1856,81;;425,57;;
NEVIR, S.A.;49,46;;;49,46;;
NINGBO ZHONGLIN FOREIGN TRADE CO., LTD;28,01;;;28,83;;
NORTENE HOME DEPOT SL;368,90;4122,71;;946,88;14091,50;
NOVARTIX TRADING, S.L.;399,06;;;67,52;363;
NOVODINAMICA SL;;;;;333;
OLIPES, S.L.;;;;;;
OLIVERAS GUERRIS, S.A.;67,05;;;54;;
OPTOR, S.A.U.;96,34;3664,86;;179,65;4247,64;
PAPELES EL CARMEN, S.A.;;;;32,25;;
PFERD-RUGGEBERG, S.A.;;978,94;;;1211,81;
PLASMIR, S.A.;92,95;;;;;
PLASTICOS TA-TAY, S.A.;74,75;;;257,00;;
PLASTIKEN, S.L.U.;65,07;;;;;
PLASVIDAVI INYECCION, S.L.;;;;;;
PRIMICIAS TECN. CARDI, S.L.;161,71;;;296,69;;
PROCO-DIS, S.L.;12,25;;;13,74;;
PRODUCTOS CLIMAX S.A.;802,62;3771,00;;359,73;4906,31;
PRODUCTOS FLOWER, S.A.;;;;57,82;;
PRODUCTOS McLAND, S.L.;278,00;;;952,41;1700,54;
PRODUCTOS QP, S.A.;;;;189,49;;
QINGDAO GOLD-DRAGON CO., LTD;;;;386,71;;
QUIMICA DEL CENTRO, S.A.U.;287,68;;;287,17;;
QUIMIMONT, S.L.U;;;;;522,71;
RADIO CARRERA, S.A;536,43;;;;;295,96
RIOJA MOMOSA 93, S.L;;2833,24;;;4283,00;
RIVER INTERNATIONAL, S.A.;;;;;;
ROBERT BOSCH ESPAÑA, S.L.U.;1037,68;;;392,18;;
ROLSER, S.A.;286,64;;;357,54;;
ROMBULL RONETS, S.L.;842,87;191,22;;;126,4;
RUEDAS ALEX, S.L.U.;;5221,86;;;7453,72;
RUGART PLASTICOS IBERICA, SL;803,54;;;833,95;;
RULO PLUMA, S.A.;;986,75;;118,38;754,55;
S.A. HERRAJES DE CORREDERA;;1678,58;;;2633,11;
SAINT GENIS, S.A.;;;;1,52;;
SAINT GOBAIN ABRASIVOS, S.A.;174,10;3310,20;;182,07;2085,75;
SAMOA INDUSTRIAL, S.A.;;2390,33;;;4243,96;
SANZ HERMANOS VALENCIA, S.L;;75,26;;;;
SAUVIC, S.L.;;;;;;
SEDILES, S.A.;169,86;;;384,32;;
SEINEC, S.A.;702,81;;;1395,24;;
SELENA IBERIA, S.L.U.;;;;;;
SHANGHAI STONG INDUSTRY CO., LTD;19,81;;;;;
SILVER SANZ, S.A.;;;;;;
SIMON BRICO, S.L.;152,45;;;20,43;;
SNA EUROPE INDUSTR. IBERIA,S.A;276,46;21071,93;;210,02;26963,88;
SOURCING SPECIALISTS S.L.;703,93;;;3607,65;;
SPAX TORNILLERIA, S.A.U.;;11962,24;;27,73;8260,91;
SP-BERNER PLASTIC GROUP, S.L.;29,37;;;;;
STANLEY BLACK DECKER IBER.,SLU;780,45;3986,71;;890,46;6859,87;
STIGA, SPA;50,03;;;;;
STOCK PLUS, S.L.;4,64;;;13892,49;;
SUC.DE FALIP NAVARRO,S.A.;660,56;;;480,86;;
SUMINISTROS INDUST.BELLOSO,S.L;181,15;;;970,28;616,2;
SUPER EGO TOOLS, S.L.U;7,42;36,31;;180,71;;
SUZHOU KOTA HARDWARE&TOOLS CO.,LTD;76,41;;;64,85;;
SWISSINNO SOLUTIONS AG;333,32;;;296,80;;
TALLER HNOS.CATALINA, S.A.;17,34;;;384,16;;
TALLERES ESCORIAZA, S.A.U.;47,6;3570,48;;328,79;1928,76;
TALLERES MECA. BIANDITZ, S.L.;;;;15,24;;
TALLERES TREPAT, S.A.;;997,5;;;2717,28;
TECHXIN ELEC.APPL.MANUF.CO.LTD;40,18;;;;;
TECNICAS EXPANSIVAS, S.L.;;17123,59;;358,79;23397,18;
TECNOLOGIAS DE AISLAMIENTOS Y CLIMATIZACION, SL;;;;95,85;;
TEICOCIL ESPAÑA, S.L.;722,49;;;1986,27;;
TELCOMDIS TECNOLOGIA, S.L.;;;;98,90;;
TEMPEL, S.A.;;;;97,87;;
TESA TAPE, S.A.;;6292,85;;3237,81;4478,60;
TEXLIMCA, S.A.;2560,94;896,7;;2504,77;;
THE PAPER&OFFICE EQUI.SPAIN,SA;;1383,72;;1,49;;
TOMAS BODERO S.A.;;15401,61;;1741,56;13264,73;
TORNILLERA ARAGONESA,S.A.;;;;62,49;;
TOYOTOMI EURO SALES SPA, S.A.;35,81;;;;;
TRACTEL IBERICA, S.A.;;2232,2;;;2077,26;
TREFILERIA ALISEDA, S.L.;2216,18;;;1917,52;2536,38;
UMACON, S.A.;;;;;54,14;
UNIVERSAL FOR ENGINEERING INDUSTRIES SPAIN SL;;;;187,76;;
URKO TOOLS, S.A.;;1324,85;;;3006,53;
VARILLA ROSCADA, S.A.;;4965,36;;;3522,70;
VARO IBERICA BRICOLAGE, S.L.;185,99;;;329,10;;
VARTA CONSUMER BAT IBERIA, SL;1001,27;;;992,94;;
VELILLA GROUP EUROPE, SL;;1592,98;;;831,24;
VERA ARTICULOS DE GOMA, S.L.;147,81;;;189,46;;
VOLA-INSTRUMENTS, S.L.;;;;32,83;;
WD-40 C12165OMPANY LTD. ESPAÑA;3028,59;;;2049,35;;
WEBER STHEPHEN IBERICA, S.R.L;299;;;;;
WOLF GROUP IBERICO S.A.U;34,08;12785,20;;273,92;9784,67;
WOLFCRAFT GMBH;14,5;;;53,62;;
XCELLENT MFG.ASSOCIATES CO.;265,97;;;576,30;;
YONGKANG HAILI IND.,Co.Ltd.;;;;99,39;;
YULIT INDUSTRIES CO. ,LTD.;;;;25,39;;
ZHEJIANG MINZO NEW MAT.CO.LTD;1222,12;;;1338,84;;
